Country or territory (Territories without full sovereignty in italics) [2] ,Total length of land borders ,Total length of land borders ,No. of unique land borders ,No. of unique land neighbours ,Land border neighboursand border length (Territories without full sovereignty in italics) [2](#) = No. of unique land boundaries with that country or territory 
Country or territory (Territories without full sovereignty in italics) [2] ,km[3] ,mi ,No. of unique land borders ,No. of unique land neighbours ,Land border neighboursand border length (Territories without full sovereignty in italics) [2](#) = No. of unique land boundaries with that country or territory 
 Abkhazia ,382 ,237 ,2 ,2 ,Includes:  Russia: 241 km (150 mi) Georgia: 141 km (88 mi) 
 Afghanistan ,"5,529 ","3,436 ",6 (7) ,6 ,"Includes:  People's Republic of China: 76 km (47 mi) Iran: 935 km (581 mi) Pakistan: 2,430 km (1,510 mi) Tajikistan: 1,206 km (749 mi) Turkmenistan: 744 km (462 mi) Uzbekistan: 137 km (85 mi) "
 Albania ,720 ,450 ,4 ,4 ,Includes:  Greece: 282 km (175 mi) Kosovo:[4] 112 km (70 mi) North Macedonia: 151 km (94 mi) Montenegro: 172 km (107 mi) 
 Algeria ,"6,343 ","3,941 ",7 ,7 ,"Includes:  Libya: 982 km (610 mi) Mali: 1,376 km (855 mi) Mauritania: 463 km (288 mi) Morocco: 1,559 km (969 mi) Niger: 956 km (594 mi) Tunisia: 965 km (600 mi) Western Sahara:[5] 42 km (26 mi) "
 Andorra ,120 ,75 ,2 ,2 ,Includes:  France: 56.6 km (35.2 mi) Spain: 63.7 km (39.6 mi) 
 Angola ,"5,198 ","3,230 ",5 ,4 ,"Includes:  Democratic Republic of the Congo (2): 2,511 km (1,560 mi)[6] Republic of the Congo: 201 km (125 mi) Namibia: 1,376 km (855 mi) Zambia: 1,110 km (690 mi) "
 Antigua and Barbuda ,0 ,0 ,0 ,0 , 
 Argentina ,"9,665 ","6,006 ",6 ,5 ,"Includes:  Bolivia: 832 km (517 mi) Brazil: 1,224 km (761 mi) Chile (2): 5,300 km (3,300 mi)[7] Paraguay: 1,880 km (1,170 mi) Uruguay: 579 km (360 mi) "
 Armenia ,"1,254 ",779 ,5 ,4 ,Includes:  Azerbaijan (6): 787 km (489 mi)[8] Georgia: 164 km (102 mi) Iran: 35 km (22 mi) Turkey: 268 km (167 mi) 
 Australia ,0 ,0 ,0 ,0 , 
 Austria ,"2,562 ","1,592 ",9 ,8 ,Includes:  Czech Republic: 362 km (225 mi) Germany: 784 km (487 mi) Hungary: 366 km (227 mi) Italy: 430 km (270 mi) Liechtenstein: 34 km (21 mi) Slovakia: 91 km (57 mi) Slovenia: 330 km (210 mi)  Switzerland (2): 164 km (102 mi) 
 Azerbaijan ,"2,013 ","1,251 ",7 ,5 ,Includes:  Armenia (6): 787 km (489 mi)[8] Georgia: 322 km (200 mi) Iran (2):[9] 432 km (268 mi) Russia: 284 km (176 mi) Turkey:[10] 9 km (5.6 mi) 
 Bahamas  ,0 ,0 ,0 ,0 , 
 Bahrain ,0 ,0 ,0 ,0 , 
 Bangladesh ,"4,246 ","2,638 ",3 ,2 ,"Includes:  India (2), including Dahagram-Angarpota:[11] 4,053 km (2,518 mi) Myanmar: 193 km (120 mi) "
 Barbados ,0 ,0 ,0 ,0 , 
 Belarus ,"2,900 ","1,800 ",5 ,5 ,Includes:  Latvia: 141 km (88 mi) Lithuania: 502 km (312 mi) Poland: 407 km (253 mi) Russia: 959 km (596 mi) Ukraine: 891 km (554 mi) 
 Belgium ,"1,385 ",861 ,39 ,4 ,Includes:  France: 620 km (390 mi) Germany (6):[12] 167 km (104 mi) Luxembourg: 148 km (92 mi) Netherlands (31):[13] 450 km (280 mi) 
 Belize ,516 ,321 ,2 ,2 ,Includes:  Guatemala: 266 km (165 mi) Mexico: 250 km (160 mi) 
 Benin ,"1,989 ","1,236 ",4 ,4 ,Includes:  Burkina Faso: 306 km (190 mi) Niger: 266 km (165 mi) Nigeria: 773 km (480 mi) Togo: 644 km (400 mi) 
 Bhutan ,"1,075 ",668 ,2 ,2 ,Includes:  People's Republic of China: 470 km (290 mi) India: 605 km (376 mi) 
 Bolivia ,"6,743 ","4,190 ",5 ,5 ,"Includes:  Argentina: 832 km (517 mi) Brazil: 3,400 km (2,100 mi) Chile: 861 km (535 mi) Paraguay: 750 km (470 mi) Peru: 900 km (560 mi) "
 Bosnia and Herzegovina ,"1,459 ",907 ,5 ,3 ,Includes:  Croatia (2): 932 km (579 mi) Montenegro: 225 km (140 mi) Serbia (2):[14] 302 km (188 mi) 
 Botswana ,"4,015 ","2,495 ",4 ,4 ,"Includes:  Namibia: 1,360 km (850 mi) South Africa: 1,840 km (1,140 mi) Zambia: 0.15 km (0.093 mi) Zimbabwe: 813 km (505 mi) "
 Brazil ,"14,691 ","9,129 ",10 ,10 ,"Includes:  Argentina: 1,224 km (761 mi) Bolivia: 3,400 km (2,100 mi) Colombia: 1,643 km (1,021 mi) French Guiana[15] (France): 673 km (418 mi) Guyana: 1,119 km (695 mi) Paraguay: 1,290 km (800 mi) Peru: 1,560 km (970 mi) Suriname: 597 km (371 mi) Uruguay: 985 km (612 mi) Venezuela: 2,200 km (1,400 mi) "
 Brunei ,381 ,237 ,2 ,1 ,Includes:  Malaysia (2): 381 km (237 mi) 
 Bulgaria ,"1,808 ","1,123 ",5 ,5 ,Includes:  Greece: 494 km (307 mi) North Macedonia: 148 km (92 mi) Romania: 608 km (378 mi) Serbia: 318 km (198 mi) Turkey: 240 km (150 mi) 
 Burkina Faso ,"3,193 ","1,984 ",6 ,6 ,"Includes:  Benin: 306 km (190 mi) Côte d'Ivoire: 584 km (363 mi) Ghana: 549 km (341 mi) Mali: 1,000 km (620 mi) Niger: 628 km (390 mi) Togo: 126 km (78 mi) "
 Burundi ,974 ,605 ,3 ,3 ,Includes:  Democratic Republic of the Congo: 233 km (145 mi) Rwanda: 290 km (180 mi) Tanzania: 451 km (280 mi) 
 Cambodia  ,"2,572 ","1,598 ",3 ,3 ,"Includes:  Laos: 541 km (336 mi) Thailand: 803 km (499 mi) Vietnam: 1,228 km (763 mi) "
 Cameroon ,"4,591 ","2,853 ",6 ,6 ,"Includes:  Central African Republic: 797 km (495 mi) Chad: 1,094 km (680 mi) Republic of the Congo: 523 km (325 mi) Equatorial Guinea: 189 km (117 mi) Gabon: 298 km (185 mi) Nigeria: 1,690 km (1,050 mi) "
 Canada ,"8,893 ","5,526 ",4 ,1 ,"Includes:  United States (4): 8,893 km (5,526 mi)[16] "
 Cape Verde ,0 ,0 ,0 ,0 , 
 Central African Republic ,"5,213 ","3,239 ",6 ,6 ,"Includes:  Cameroon: 797 km (495 mi) Chad: 1,197 km (744 mi) Democratic Republic of the Congo: 1,577 km (980 mi) Republic of the Congo: 467 km (290 mi) South Sudan: 682 km (424 mi) Sudan: 483 km (300 mi) "
 Chad ,"5,968 ","3,708 ",6 ,6 ,"Includes:  Cameroon: 1,094 km (680 mi) Central African Republic: 1,197 km (744 mi) Libya: 1,055 km (656 mi) Niger: 1,175 km (730 mi) Nigeria: 87 km (54 mi) Sudan: 1,360 km (850 mi) "
 Chile ,"6,171 ","3,834 ",4 ,3 ,"Includes:  Argentina (2): 5,300 km (3,300 mi)[7] Bolivia: 861 km (535 mi) Peru: 160 km (99 mi) "
 People's Republic of China[17] ,"22,147 ","13,762 ",17 ,14 ,"Includes:  Afghanistan: 76 km (47 mi) Bhutan: 470 km (290 mi) Hong Kong[18] (PR China): 30 km (19 mi) India (3): 3,380 km (2,100 mi) Kazakhstan: 1,533 km (953 mi) North Korea: 1,416 km (880 mi) Kyrgyzstan: 858 km (533 mi) Laos: 423 km (263 mi) Macau[19] (PR China): 0.34 km (0.21 mi) Mongolia: 4,677 km (2,906 mi) Myanmar: 2,185 km (1,358 mi)   Nepal: 1,236 km (768 mi) Pakistan:[20] 523 km (325 mi) Russia (2): 3,645 km (2,265 mi) Tajikistan: 414 km (257 mi) Vietnam: 1,281 km (796 mi) "
 Colombia ,"6,004 ","3,731 ",5 ,5 ,"Includes:  Brazil: 1,643 km (1,021 mi) Ecuador: 590 km (370 mi) Panama: 225 km (140 mi) Peru: 1,496 km (930 mi)  Venezuela: 2,050 km (1,270 mi) "
 Comoros ,0 ,0 ,0 ,0 , 
 Democratic Republic of the Congo ,"10,730 ","6,670 ",10 ,9 ,"Includes:  Angola (2): 2,511 km (1,560 mi)[6] Burundi: 233 km (145 mi) Central African Republic: 1,577 km (980 mi) Republic of the Congo: 2,410 km (1,500 mi) Rwanda: 217 km (135 mi) South Sudan: 628 km (390 mi) Tanzania: 459 km (285 mi) Uganda: 765 km (475 mi) Zambia: 1,930 km (1,200 mi) "
 Republic of the Congo ,"5,504 ","3,420 ",5 ,5 ,"Includes:  Angola: 201 km (125 mi) Cameroon: 523 km (325 mi) Central African Republic: 467 km (290 mi) Democratic Republic of the Congo: 2,410 km (1,500 mi) Gabon: 1,903 km (1,182 mi) "
 Costa Rica ,639 ,397 ,2 ,2 ,Includes:  Nicaragua: 309 km (192 mi) Panama: 330 km (210 mi) 
 Côte d'Ivoire ,"3,110 ","1,930 ",5 ,5 ,Includes:  Burkina Faso: 584 km (363 mi) Ghana: 668 km (415 mi) Guinea: 610 km (380 mi) Liberia: 716 km (445 mi) Mali: 532 km (331 mi) 
 Croatia ,"2,197 ","1,365 ",6 ,5 ,Includes:  Bosnia and Herzegovina (2): 932 km (579 mi) Hungary: 329 km (204 mi) Montenegro: 25 km (16 mi) Serbia: 241 km (150 mi) Slovenia: 670 km (420 mi) 
 Cuba ,0 ,0[21] ,0[21] ,0[21] , 
 Cyprus ,152 ,94 ,6[22] ,1 ,Includes:  Akrotiri and Dhekelia[23] (United Kingdom) (5):[22] 152 km (94 mi) 
 Czech Republic ,"1,881 ","1,169 ",4 ,4 ,Includes:  Austria: 362 km (225 mi) Germany: 815 km (506 mi)[24] Poland: 658 km (409 mi) Slovakia: 215 km (134 mi) 
 Denmark ,68 ,42 ,1 ,1 ,Includes:  Germany: 68 km (42 mi) 
 Djibouti ,528 ,328 ,3 ,3 ,Includes:  Eritrea: 125 km (78 mi) Ethiopia: 342 km (213 mi) Somalia: 61 km (38 mi) 
 Dominica ,0 ,0 ,0 ,0 , 
 Dominican Republic ,360 ,220 ,1 ,1 ,Includes:  Haiti: 360 km (220 mi) 
 East Timor ,228 ,142 ,2 ,1 ,Includes:  Indonesia (2): 228 km (142 mi) 
 Ecuador ,"2,010 ","1,250 ",2 ,2 ,"Includes:  Colombia: 590 km (370 mi) Peru: 1,420 km (880 mi) "
 Egypt ,"2,665 ","1,656 ",4 ,4 ,"Includes:  Gaza Strip (state of Palestine):[25] 11 km (6.8 mi) Israel: 266 km (165 mi) Libya: 1,115 km (693 mi) Sudan: 1,273 km (791 mi) "
 El Salvador ,545 ,339 ,2 ,2 ,Includes:  Guatemala: 203 km (126 mi) Honduras: 342 km (213 mi) 
 Equatorial Guinea ,539 ,335 ,2 ,2 ,Includes:  Cameroon: 189 km (117 mi) Gabon: 350 km (220 mi) 
 Eritrea ,"1,626 ","1,010 ",3 ,3 ,Includes:  Djibouti: 125 km (78 mi) Ethiopia: 912 km (567 mi) Sudan: 605 km (376 mi) 
 Estonia ,633 ,393 ,2 ,2 ,Includes:  Latvia: 339 km (211 mi) Russia: 294 km (183 mi) 
 Eswatini ,535 ,332 ,2 ,2 ,Includes:  Mozambique: 105 km (65 mi) South Africa: 430 km (270 mi) 
 Ethiopia ,"5,328 ","3,311 ",6 ,6 ,"Includes:  Djibouti: 342 km (213 mi) Eritrea: 912 km (567 mi) Kenya: 861 km (535 mi) Somalia: 1,600 km (990 mi) South Sudan: 883 km (549 mi) Sudan: 723 km (449 mi) "
 Fiji ,0 ,0 ,0 ,0 , 
 Finland ,"2,690 ","1,670 ",7 ,3 ,"Includes:  Norway: 736 km (457 mi) Sweden (4): 614 km (382 mi) Russia (2): 1,340 km (830 mi) "
" France (excluding French overseas departments, collectivities, and territories) ","2,889 ","1,795 ",10 ,8 ,Includes:  Andorra: 56.6 km (35.2 mi) Belgium: 620 km (390 mi) Germany: 451 km (280 mi) Italy: 488 km (303 mi) Luxembourg: 73 km (45 mi) Monaco: 4.4 km (2.7 mi) Spain (3):[26] 623 km (387 mi)  Switzerland: 573 km (356 mi) 
" France (including French overseas departments, collectivities, and territories) →includes: → Clipperton Island→ French Guiana→ French Polynesia→ French Southern and Antarctic Lands[27]→ Guadeloupe→ Martinique→ Mayotte→ New Caledonia→ Réunion→ Saint Barthélemy→ Saint Martin→ Saint Pierre and Miquelon→ Wallis and Futuna ","4,082 ","2,536 ",13 ,11 ,Includes:  Andorra: 56.6 km (35.2 mi) Belgium: 620 km (390 mi) Brazil:[28] 673 km (418 mi) Germany: 451 km (280 mi) Italy: 488 km (303 mi) Luxembourg: 73 km (45 mi) Monaco: 4.4 km (2.7 mi) Sint Maarten[29][30] (Netherlands): 10.2 km (6.3 mi) Spain (3):[26] 623 km (387 mi) Suriname:[28] 510 km (320 mi)  Switzerland: 573 km (356 mi) 
 Gabon ,"2,551 ","1,585 ",3 ,3 ,"Includes:  Cameroon: 298 km (185 mi) Republic of the Congo: 1,903 km (1,182 mi) Equatorial Guinea: 350 km (220 mi) "
 The Gambia ,740 ,460 ,1 ,1 ,Includes:  Senegal: 740 km (460 mi) 
 Georgia ,"1,461 ",908 ,6 ,4 ,Includes:  Armenia: 164 km (102 mi) Azerbaijan: 322 km (200 mi) Russia: 723 km (449 mi) Turkey: 252 km (157 mi) Abkhazia: 141 km (88 mi) South Ossetia: 334 km (208 mi) 
 Germany ,"3,621 ","2,250 ",15 ,9 ,Includes:  Austria: 784 km (487 mi) Belgium (6):[12] 167 km (104 mi) Czech Republic: 815 km (506 mi)[24] Denmark: 68 km (42 mi) France: 451 km (280 mi) Luxembourg: 138 km (86 mi) Netherlands: 577 km (359 mi) Poland: 456 km (283 mi)  Switzerland (2):[31] 334 km (208 mi) 
 Ghana ,"2,094 ","1,301 ",3 ,3 ,Includes:  Burkina Faso: 549 km (341 mi) Côte d'Ivoire: 668 km (415 mi) Togo: 877 km (545 mi) 
 Greece ,"1,228 ",763 ,4 ,4 ,Includes:  Albania: 282 km (175 mi) Bulgaria: 494 km (307 mi) Turkey: 206 km (128 mi) North Macedonia: 246 km (153 mi) 
 Grenada ,0 ,0 ,0 ,0 , 
 Guatemala ,"1,687 ","1,048 ",4 ,4 ,Includes:  Belize: 266 km (165 mi) El Salvador: 203 km (126 mi) Honduras: 256 km (159 mi) Mexico: 962 km (598 mi) 
 Guinea ,"3,399 ","2,112 ",6 ,6 ,Includes:  Côte d'Ivoire: 610 km (380 mi) Guinea-Bissau: 386 km (240 mi) Liberia: 563 km (350 mi) Mali: 858 km (533 mi) Senegal: 330 km (210 mi) Sierra Leone: 652 km (405 mi) 
 Guinea-Bissau ,724 ,450 ,2 ,2 ,Includes:  Guinea: 386 km (240 mi) Senegal: 338 km (210 mi) 
 Guyana ,"2,462 ","1,530 ",3 ,3 ,"Includes:  Brazil: 1,119 km (695 mi) Suriname: 600 km (370 mi) Venezuela: 743 km (462 mi) "
 Haiti ,360 ,220 ,1 ,1 ,Includes:  Dominican Republic: 360 km (220 mi) 
 Honduras ,"1,520 ",940 ,3 ,3 ,Includes:  Guatemala: 256 km (159 mi) El Salvador: 342 km (213 mi) Nicaragua: 922 km (573 mi) 
 Hong Kong[18] ,30 ,19 ,1 ,1 ,Includes:  People's Republic of China: 30 km (19 mi) 
 Hungary ,"2,171 ","1,349 ",7 ,7 ,Includes:  Austria: 366 km (227 mi) Croatia: 329 km (204 mi) Romania: 443 km (275 mi) Serbia: 151 km (94 mi) Slovakia: 677 km (421 mi) Slovenia: 102 km (63 mi) Ukraine: 103 km (64 mi) 
 Iceland ,0 ,0 ,0 ,0 , 
 India ,"14,103 ","8,763 ",10 (9) ,6 ,"Includes:  Bangladesh (2), including Dahagram-Angarpota:[11] 4,053 km (2,518 mi) Bhutan: 605 km (376 mi) People's Republic of China (3):[20] 3,380 km (2,100 mi) Myanmar: 1,463 km (909 mi)   Nepal: 1,690 km (1,050 mi) Pakistan: 2,912 km (1,809 mi) "
 Indonesia ,"2,830 ","1,760 ",4 ,3 ,"Includes:  East Timor (2): 228 km (142 mi) Malaysia: 1,782 km (1,107 mi) Papua New Guinea: 820 km (510 mi) "
 Iran ,"5,440 ","3,380 ",8 ,7 ,"Includes:  Afghanistan: 936 km (582 mi) Armenia: 35 km (22 mi) Azerbaijan (2):[9] 432 km (268 mi) Iraq: 1,458 km (906 mi) Pakistan: 909 km (565 mi) Turkey: 499 km (310 mi) Turkmenistan: 992 km (616 mi) "
 Iraq ,"3,650 ","2,270 ",6 ,6 ,"Includes:  Iran: 1,458 km (906 mi) Jordan: 181 km (112 mi) Kuwait: 240 km (150 mi) Saudi Arabia: 814 km (506 mi) Syria: 605 km (376 mi) Turkey: 352 km (219 mi) "
 Ireland ,499 ,310 ,1 ,1 ,Includes:  United Kingdom: 499 km (310 mi) 
 Israel ,"1,017 ",632 ,4 ,4 ,Includes:  Egypt: 266 km (165 mi) Gaza Strip (state of palestine):[25] 51 km (32 mi) Jordan: 238 km (148 mi) Lebanon: 79 km (49 mi) Syria: 76 km (47 mi) West Bank (state of Palestine):[25] 307 km (191 mi) 
 Italy ,"1,932 ","1,200 ",7 ,6 ,Includes:  Austria: 430 km (270 mi) France: 488 km (303 mi) San Marino: 39 km (24 mi) Slovenia: 232 km (144 mi)  Switzerland (2):[32] 740 km (460 mi)  Vatican City: 3.2 km (2.0 mi) 
 Jamaica ,0 ,0 ,0 ,0 , 
 Japan ,0 ,0 ,0 ,0 , 
 Jordan ,"1,635 ","1,016 ",5 ,5 ,Includes:  Iraq: 181 km (112 mi) Israel: 238 km (148 mi) Saudi Arabia: 744 km (462 mi) Syria: 375 km (233 mi) West Bank (State of Palestine):[25] 97 km (60 mi) 
 Kazakhstan ,"12,012 ","7,464 ",5 ,5 ,"Includes:  People's Republic of China: 1,533 km (953 mi) Kyrgyzstan: 1,051 km (653 mi) Russia: 6,846 km (4,254 mi) Turkmenistan: 379 km (235 mi) Uzbekistan: 2,203 km (1,369 mi) "
 Kenya ,"3,477 ","2,161 ",5 ,5 ,Includes:  Ethiopia: 861 km (535 mi) Somalia: 682 km (424 mi) South Sudan: 232 km (144 mi) Tanzania: 769 km (478 mi) Uganda: 933 km (580 mi) 
 Kiribati ,0 ,0 ,0 ,0 , 
