Entity,Code,Year,"Capital city population (UN Urbanization Prospects, 2018)"
Afghanistan,AFG,2018,4011770
Albania,ALB,2018,475577
Algeria,DZA,2018,2693542
American Samoa,ASM,2018,48526
Andorra,AND,2018,22614
Angola,AGO,2018,7774200
Anguilla,AIA,2018,1402
Antigua and Barbuda,ATG,2018,20764
Argentina,ARG,2018,14966530
Armenia,ARM,2018,1080324
Aruba,ABW,2018,29877
Australia,AUS,2018,447692
Austria,AUT,2018,1900547
Azerbaijan,AZE,2018,2285729
Bahamas,BHS,2018,279668
Bahrain,BHR,2018,564631
Bangladesh,BGD,2018,19578421
Barbados,BRB,2018,89201
Belarus,BLR,2018,2004672
Belgium,BEL,2018,2049510
Belize,BLZ,2018,22964
Benin,BEN,2018,285328
Bermuda,BMU,2018,10073
Bhutan,BTN,2018,203297
Bolivia,BOL,2018,277910
Bosnia and Herzegovina,BIH,2018,342577
Botswana,BWA,2018,269338
Brazil,BRA,2018,4469585
British Virgin Islands,VGB,2018,15137
Brunei,BRN,2018,40781
Bulgaria,BGR,2018,1272418
Burkina Faso,BFA,2018,2531381
Burundi,BDI,2018,898968
Cabo Verde,,2018,167504
Cambodia,KHM,2018,1952329
Cameroon,CMR,2018,3655656
Canada,CAN,2018,1363159
Cayman Islands,CYM,2018,34875
Central African Republic,CAF,2018,850946
Chad,TCD,2018,1322679
Channel Islands,OWID_CIS,2018,34386
Chile,CHL,2018,6680371
China,CHN,2018,19617963
Colombia,COL,2018,10574409
Comoros,COM,2018,62351
Congo,COG,2018,2229693
Cook Islands,COK,2018,13067
Costa Rica,CRI,2018,1357745
Cote d'Ivoire,CIV,2018,231072
Croatia,HRV,2018,685587
Cuba,CUB,2018,2136468
Curacao,CUW,2018,144037
Cyprus,CYP,2018,269469
Czech Republic,CZE,2018,1291552
Democratic Republic of Congo,COD,2018,13171256
Denmark,DNK,2018,1320826
Djibouti,DJI,2018,561564
Dominica,DMA,2018,14942
Dominican Republic,DOM,2018,3172152
Ecuador,ECU,2018,1822397
Egypt,EGY,2018,20076002
El Salvador,SLV,2018,1106698
Equatorial Guinea,GNQ,2018,296770
Eritrea,ERI,2018,895863
Estonia,EST,2018,437027
Ethiopia,ETH,2018,4399674
Faeroe Islands,FRO,2018,20817
Falkland Islands,FLK,2018,2269
Fiji,FJI,2018,178339
Finland,FIN,2018,1279096
France,FRA,2018,10900952
French Guiana,GUF,2018,57506
French Polynesia,PYF,2018,136005
Gabon,GAB,2018,813489
Gambia,GMB,2018,437161
Georgia,GEO,2018,1077333
Germany,DEU,2018,3552123
Ghana,GHA,2018,2439389
Gibraltar,GIB,2018,34733
Greece,GRC,2018,3155600
Greenland,GRL,2018,18406
Grenada,GRD,2018,39297
Guadeloupe,GLP,2018,58397
Guam,GUM,2018,146905
Guatemala,GTM,2018,2851104
Guinea,GIN,2018,1843121
Guinea-Bissau,GNB,2018,558399
Guyana,GUY,2018,109934
Haiti,HTI,2018,2636763
Honduras,HND,2018,1363041
Hong Kong,HKG,2018,7428887
Hungary,HUN,2018,1759497
Iceland,ISL,2018,216364
India,IND,2018,28513682
Indonesia,IDN,2018,10516927
Iran,IRN,2018,8895947
Iraq,IRQ,2018,6811955
Ireland,IRL,2018,1201426
Isle of Man,IMN,2018,27171
Israel,ISR,2018,907062
Italy,ITA,2018,4209710
Jamaica,JAM,2018,589083
Japan,JPN,2018,37468302
Jordan,JOR,2018,2064582
Kazakhstan,KAZ,2018,1068113
Kenya,KEN,2018,4385853
Kiribati,KIR,2018,64011
Kuwait,KWT,2018,2989270
Kyrgyzstan,KGZ,2018,996319
Laos,LAO,2018,664754
Latvia,LVA,2018,637089
Lebanon,LBN,2018,2385271
Lesotho,LSO,2018,201851
Liberia,LBR,2018,1418300
Libya,LBY,2018,1157746
Liechtenstein,LIE,2018,5470
Lithuania,LTU,2018,536055
Luxembourg,LUX,2018,119752
Macao,MAC,2018,632418
Macedonia,MKD,2018,584208
Madagascar,MDG,2018,3058387
Malawi,MWI,2018,1029639
Malaysia,MYS,2018,7563912
Maldives,MDV,2018,176851
Mali,MLI,2018,2446749
Malta,MLT,2018,212768
Marshall Islands,MHL,2018,30661
Martinique,MTQ,2018,79361
Mauritania,MRT,2018,1205414
Mauritius,MUS,2018,149365
Mayotte,MYT,2018,6180
Mexico,MEX,2018,21580827
Micronesia,,2018,6996
Moldova,MDA,2018,509707
Monaco,MCO,2018,38897
Mongolia,MNG,2018,1520381
Montenegro,MNE,2018,177177
Montserrat,MSR,2018,472
Morocco,MAR,2018,1846661
Mozambique,MOZ,2018,1101771
Myanmar,MMR,2018,500218
Namibia,NAM,2018,404280
Nauru,NRU,2018,11312
Nepal,NPL,2018,1329732
Netherlands,NLD,2018,1131690
Netherlands Antilles,ANT,2018,11313
New Caledonia,NCL,2018,197787
New Zealand,NZL,2018,411346
Nicaragua,NIC,2018,1047923
Niger,NER,2018,1213781
Nigeria,NGA,2018,2918518
Niue,NIU,2018,727
North Korea,PRK,2018,3037862
Northern Mariana Islands,MNP,2018,50568
Norway,NOR,2018,1012225
Oman,OMN,2018,1446563
Pakistan,PAK,2018,1061412
Palau,PLW,2018,11410
Palestine,PSE,2018,275086
Panama,PAN,2018,1783490
Papua New Guinea,PNG,2018,366862
Paraguay,PRY,2018,3222199
Peru,PER,2018,10390607
Philippines,PHL,2018,13482468
Poland,POL,2018,1767798
Portugal,PRT,2018,2927316
Puerto Rico,PRI,2018,2454337
Qatar,QAT,2018,633401
Reunion,REU,2018,147209
Romania,ROU,2018,1821380
Russia,RUS,2018,12409738
Rwanda,RWA,2018,1057836
Saint Helena,SHN,2018,603
Saint Kitts and Nevis,KNA,2018,14434
Saint Lucia,LCA,2018,22258
Saint Pierre and Miquelon,SPM,2018,5723
Saint Vincent and the Grenadines,VCT,2018,26636
Samoa,WSM,2018,36066
San Marino,SMR,2018,4465
Sao Tome and Principe,STP,2018,80099
Saudi Arabia,SAU,2018,6906595
Senegal,SEN,2018,2978419
Serbia,SRB,2018,1389351
Seychelles,SYC,2018,28091
Sierra Leone,SLE,2018,1135949
Singapore,SGP,2018,5791901
Sint Maarten (Dutch part),SXM,2018,40552
Slovakia,SVK,2018,429920
Slovenia,SVN,2018,286491
Solomon Islands,SLB,2018,81801
Somalia,SOM,2018,2081624
South Africa,ZAF,2018,2378350
South Korea,KOR,2018,9963497
South Sudan,SSD,2018,368914
Spain,ESP,2018,6497124
Sri Lanka,LKA,2018,599821
Sudan,SDN,2018,5534079
Suriname,SUR,2018,239457
Swaziland,SWZ,2018,68010
Sweden,SWE,2018,1582968
Switzerland,CHE,2018,422153
Syria,SYR,2018,2319545
Taiwan,TWN,2018,2705791
Tajikistan,TJK,2018,872653
Tanzania,TZA,2018,261645
Thailand,THA,2018,10156316
Timor,TLS,2018,281135
Togo,TGO,2018,1745744
Tonga,TON,2018,22904
Trinidad and Tobago,TTO,2018,544417
Tunisia,TUN,2018,2290777
Turkey,TUR,2018,4919074
Turkmenistan,TKM,2018,810186
Turks and Caicos Islands,TCA,2018,5447
Tuvalu,TUV,2018,7042
Uganda,UGA,2018,2986352
Ukraine,UKR,2018,2956706
United Arab Emirates,ARE,2018,1419699
United Kingdom,GBR,2018,9046485
United States,USA,2018,5206593
United States Virgin Islands,VIR,2018,52322
Uruguay,URY,2018,1736989
Uzbekistan,UZB,2018,2463969
Vanuatu,VUT,2018,52690
Vatican,VAT,2018,801
Venezuela,VEN,2018,2934560
Vietnam,VNM,2018,4282738
Wallis and Futuna,WLF,2018,1025
Western Sahara,ESH,2018,232388
Yemen,YEM,2018,2779317
Zambia,ZMB,2018,2523844
Zimbabwe,ZWE,2018,1515016